date,open,high,low,close,volume
2025-04-09,75.4,75.55,75.07,75.53,3819.0
2025-04-11,75.53,76.83,75.53,76.8,737.0
2025-04-15,78.8,79.2,78.05,78.41,1278.0
2025-04-16,78.06,79.2,78.0,78.71,915.0
2025-04-17,78.6,80.11,78.59,80.0,2105.0
2025-04-21,81.28,81.38,79.58,80.85,4906.0
2025-04-22,80.86,81.29,80.73,80.91,1391.0
2025-04-23,82.5,82.5,81.01,81.48,427.0
2025-04-24,81.17,82.01,81.11,81.47,2055.0
2025-04-25,81.4,81.4,80.26,80.95,1523.0
2025-04-28,80.85,81.98,80.85,81.63,2597.0
2025-04-29,82.0,82.25,81.58,81.63,3594.0
2025-04-30,81.63,82.2,81.5,82.02,1176.0
2025-05-02,83.4,83.4,81.76,82.21,4980.0
2025-05-05,83.3,83.3,82.14,82.38,683.0
2025-05-06,81.97,82.38,81.94,82.3,1178.0
2025-05-07,81.89,82.3,81.89,82.13,637.0
2025-05-08,82.54,82.56,81.8,81.85,651.0
2025-05-09,81.35,81.53,80.9,81.22,913.0
2025-05-12,83.62,84.31,82.11,83.88,6915.0
2025-05-13,83.45,83.78,82.75,82.91,1381.0
2025-05-14,83.0,83.47,82.6,83.08,1803.0
2025-05-15,83.0,84.25,82.47,84.0,11058.0
2025-05-16,84.0,84.25,83.7,84.17,27595.0
2025-05-19,84.05,84.35,83.49,83.9,3727.0
2025-05-20,83.35,83.85,83.0,83.01,649.0
2025-05-21,83.4,83.8,83.1,83.48,2602.0
2025-05-22,84.9,84.9,82.19,82.69,4057.0
2025-05-23,82.69,83.72,82.46,83.15,866.0
2025-05-26,83.58,84.0,83.5,83.66,3322.0
2025-05-27,83.6,83.93,82.67,83.38,4818.0
2025-05-28,83.38,83.8,83.0,83.09,260.0
2025-05-29,82.85,83.62,82.8,83.21,4187.0
2025-05-30,83.21,83.21,82.82,83.19,7625.0
2025-06-02,83.6,84.7,82.55,83.28,1224.0
2025-06-03,84.18,84.18,82.35,82.68,1704.0
2025-06-04,82.68,82.97,82.47,82.64,446.0
2025-06-05,83.08,83.56,83.02,83.15,2316.0
2025-06-06,83.15,84.07,83.15,83.86,6842.0
2025-06-09,84.27,86.0,84.05,84.56,14440.0
2025-06-10,84.51,84.68,84.15,84.36,1857.0
2025-06-11,84.18,84.5,84.18,84.42,6436.0
2025-06-12,84.08,84.42,83.25,83.79,1411.0
2025-06-13,83.5,83.5,82.55,83.04,1251.0
2025-06-16,83.45,83.95,82.55,83.91,1738.0
2025-06-17,86.43,86.43,83.26,83.53,623.0
2025-06-18,83.9,83.9,83.02,83.3,2909.0
2025-06-19,83.35,83.35,83.08,83.29,912.0
2025-06-20,83.74,84.36,83.7,84.14,1555.0
2025-06-23,83.7,84.08,83.06,83.32,25620.0
2025-06-24,83.32,84.79,82.91,83.75,4693.0
2025-06-25,84.15,84.65,84.15,84.49,979.0
2025-06-26,84.49,85.7,84.49,85.67,8458.0
2025-06-27,86.98,86.98,84.5,85.69,6655.0
2025-06-30,85.7,87.3,85.05,85.58,4622.0
2025-07-01,86.4,86.4,85.51,85.6,1411.0
2025-07-02,85.6,86.0,85.14,85.32,2046.0
2025-07-03,86.28,86.28,85.29,85.3,3561.0
2025-07-04,83.59,86.1,83.59,85.13,454.0
2025-07-07,86.8,86.8,85.2,85.58,19067.0
2025-07-08,86.06,86.06,85.46,85.66,312.0
2025-07-09,85.66,85.93,85.3,85.7,3510.0
2025-07-10,85.58,85.58,85.24,85.33,767.0
2025-07-11,85.48,86.1,84.39,84.47,2704.0
2025-07-14,86.0,86.0,83.0,84.25,12800.0
2025-07-15,84.67,84.81,84.4,84.49,277.0
2025-07-17,84.91,84.91,84.37,84.37,23914.0
2025-07-18,84.43,84.44,83.74,83.9,1771.0
2025-07-21,83.49,84.78,83.49,84.31,1166.0
2025-07-22,83.89,85.0,83.89,84.39,1005.0
2025-07-23,84.39,84.81,84.39,84.78,405.0
2025-07-24,84.9,84.9,84.09,84.39,577.0
2025-07-25,84.81,85.28,83.17,83.31,2445.0
2025-07-28,83.31,84.08,82.89,83.22,2591.0
2025-07-29,83.3,83.4,82.62,83.29,3788.0
2025-07-30,83.33,83.95,83.33,83.78,1343.0
2025-07-31,83.31,83.93,82.99,83.48,513.0
2025-08-01,84.38,84.38,82.28,82.56,2725.0
2025-08-04,82.97,83.31,82.7,83.31,881.0
2025-08-05,82.98,83.16,82.68,83.08,712.0
2025-08-06,83.17,83.17,82.41,82.87,1166.0
2025-08-07,82.57,82.7,82.22,82.57,1527.0
2025-08-08,82.57,82.89,81.2,82.18,1180.0
2025-08-11,82.36,82.52,82.05,82.51,306.0
2025-08-12,82.92,82.92,82.47,82.54,241.0
2025-08-13,82.85,82.85,82.47,82.78,295.0
2025-08-14,83.0,83.0,82.66,82.94,53.0
2025-08-18,83.81,84.18,83.36,83.64,624.0
2025-08-19,83.9,84.0,83.59,83.79,471.0
2025-08-20,84.2,84.2,83.71,83.75,3533.0
2025-08-21,82.3,84.54,82.3,84.11,2268.0
2025-08-22,83.69,84.2,83.65,83.8,172.0
2025-08-25,84.21,84.51,83.65,84.21,429.0
2025-08-26,84.63,84.63,83.2,83.25,1234.0
2025-08-28,83.23,83.23,81.99,82.51,1803.0
2025-08-29,82.61,82.74,82.0,82.0,270.0
2025-09-01,82.26,82.81,82.21,82.81,280.0
2025-09-02,82.88,83.23,82.34,83.17,507.0
2025-09-03,84.3,84.3,82.19,82.81,1296.0
2025-09-04,83.26,83.57,82.89,83.0,549.0
2025-09-05,83.0,83.35,82.48,82.96,1181.0
2025-09-08,82.96,83.6,82.96,83.32,501.0
2025-09-09,83.37,83.37,83.1,83.36,1171.0
2025-09-10,83.92,83.92,83.5,83.56,554.0
2025-09-11,83.59,83.85,83.54,83.68,207.0
2025-09-12,84.12,84.48,84.12,84.15,2805.0
2025-09-15,84.15,84.15,83.79,84.13,1059.0
2025-09-16,84.5,84.87,83.23,84.24,2461.0
2025-09-17,84.24,85.14,84.24,84.8,2205.0
2025-09-18,85.22,85.45,85.03,85.45,1332.0
2025-09-19,85.2,85.2,84.92,85.1,512.0
2025-09-22,85.1,85.1,84.26,84.37,956.0
2025-09-23,84.6,84.94,83.69,84.56,1514.0
2025-09-24,84.33,84.43,84.09,84.09,1648.0
2025-09-25,84.2,84.2,83.48,83.63,694.0
2025-09-26,83.66,83.66,82.8,82.95,2778.0
2025-09-29,83.23,83.23,82.8,82.88,281.0
2025-09-30,83.27,83.27,82.5,82.72,696.0
2025-10-01,84.1,84.1,82.72,83.43,312.0
2025-10-03,82.02,84.9,82.02,83.65,353.0
2025-10-06,84.06,85.0,83.39,83.94,5666.0
2025-10-07,84.19,84.51,84.02,84.05,444.0
2025-10-08,82.74,84.98,82.74,84.27,1860.0
2025-10-09,84.26,84.51,83.65,84.31,1681.0
2025-10-10,84.73,84.94,84.65,84.65,576.0
2025-10-13,84.01,85.45,84.0,84.77,2063.0
2025-10-14,86.88,86.88,83.5,84.82,653.0
2025-10-15,84.83,85.68,84.5,84.79,172.0
2025-10-16,83.65,86.0,83.65,85.75,3635.0
2025-10-17,85.75,86.55,85.75,86.44,3453.0
2025-10-20,87.38,87.9,86.44,87.35,9485.0
2025-10-21,87.38,89.19,87.37,88.17,3362.0
2025-10-23,88.5,90.7,87.01,87.13,4519.0
2025-10-24,87.98,87.98,86.38,86.7,2665.0
2025-10-27,86.27,87.3,86.27,87.16,1303.0
2025-10-28,87.16,87.42,86.59,87.03,1529.0
2025-10-29,86.81,87.45,86.81,87.32,755.0
2025-10-30,87.32,87.39,86.99,86.99,791.0
2025-10-31,87.25,87.25,86.37,86.55,2310.0
2025-11-03,87.48,87.48,86.09,86.45,1829.0
2025-11-04,86.47,86.51,85.76,85.98,923.0
2025-11-06,86.88,86.88,85.76,85.76,1141.0
2025-11-07,85.36,85.77,85.15,85.42,6451.0
2025-11-10,86.0,86.38,85.63,86.01,1789.0
2025-11-11,86.98,86.98,85.75,86.36,1750.0
2025-11-12,86.96,87.17,86.85,87.14,3968.0
2025-11-13,87.13,87.58,86.73,87.01,3649.0
2025-11-14,87.25,87.25,86.59,86.98,786.0
2025-11-17,87.41,87.88,86.59,87.28,4115.0
2025-11-18,87.98,87.98,87.11,87.12,345.0
2025-11-19,87.38,87.65,87.01,87.33,203.0
2025-11-20,87.82,88.29,87.75,87.93,3670.0
2025-11-21,88.36,88.78,87.58,87.73,1206.0
2025-11-24,87.7,88.13,87.51,87.59,448.0
2025-11-25,87.6,87.75,87.01,87.27,1439.0
2025-11-26,88.08,88.15,87.58,88.11,857.0
2025-11-27,90.1,90.67,88.04,88.2,6461.0
2025-11-28,88.26,88.65,88.11,88.22,519.0
2025-12-01,88.22,88.74,87.39,88.35,1222.0
2025-12-02,85.7,91.35,85.7,87.86,3082.0
2025-12-03,88.68,88.68,87.28,87.7,869.0
2025-12-04,87.7,88.16,87.59,87.7,3500.0
2025-12-05,88.1,88.29,87.27,88.09,1708.0
2025-12-08,88.09,88.98,87.43,87.54,1030.0
2025-12-09,87.8,87.98,86.9,87.4,1173.0
2025-12-10,86.97,87.45,86.87,87.01,1039.0
2025-12-11,87.01,87.3,86.93,87.3,281.0
2025-12-12,87.04,87.98,87.04,87.74,947.0
2025-12-15,87.74,87.99,87.5,87.99,220.0
2025-12-16,88.42,88.42,87.3,87.39,1308.0
2025-12-17,87.3,87.4,86.83,87.25,2412.0
2025-12-18,87.05,87.22,86.77,87.22,314.0
2025-12-19,87.48,87.62,87.31,87.41,649.0
2025-12-22,87.41,88.2,87.41,87.98,2643.0
2025-12-23,88.54,88.54,87.71,88.2,1568.0
2025-12-24,88.3,88.3,87.93,88.16,494.0
2025-12-26,88.42,88.42,87.46,87.79,661.0
2025-12-29,87.76,89.17,87.05,87.31,4295.0
2025-12-30,87.51,87.98,86.7,87.47,1217.0
2025-12-31,87.49,87.85,87.1,87.84,287.0
2026-01-01,87.83,87.85,87.59,87.8,667.0
2026-01-02,87.6,88.29,87.6,88.09,1092.0
2026-01-05,88.9,88.9,86.97,87.83,7936.0
2026-01-06,87.93,88.0,87.41,87.83,1374.0
2026-01-07,87.5,87.79,87.2,87.51,2143.0
2026-01-08,87.51,87.58,86.56,86.85,1871.0
2026-01-09,87.35,87.41,86.09,86.27,1982.0
2026-01-12,86.7,87.49,85.57,86.53,2376.0
2026-01-13,86.43,86.53,85.91,86.0,1671.0
2026-01-14,86.25,86.4,85.65,86.08,812.0
2026-01-16,86.51,86.53,86.0,86.0,1538.0
2026-01-19,86.0,86.01,85.34,85.62,1568.0
2026-01-20,85.62,85.66,84.69,84.78,3846.0
2026-01-21,84.78,87.14,83.93,85.56,7965.0
2026-01-22,87.36,87.36,84.33,84.79,11023.0
2026-01-23,85.13,85.15,84.15,84.22,3998.0
2026-01-27,84.64,84.64,83.7,84.39,1179.0
2026-01-28,84.81,85.22,84.31,85.18,832.0
2026-01-29,84.17,85.33,84.17,85.0,1906.0
2026-01-30,85.08,85.08,84.63,84.8,800.0
2026-02-01,85.22,85.4,82.63,84.59,45603.0
2026-02-02,84.59,84.59,83.16,84.36,370.0
2026-02-03,86.42,86.77,85.97,86.07,4762.0
2026-02-04,87.29,87.29,85.65,86.49,1720.0
2026-02-05,87.28,87.28,85.58,85.65,2348.0
2026-02-06,85.65,87.25,84.25,85.97,2209.0
2026-02-09,87.6,87.6,86.0,86.68,2611.0
2026-02-10,86.69,87.22,86.52,86.68,3306.0
2026-02-11,86.01,87.08,86.01,86.62,2240.0
2026-02-12,86.99,86.99,86.15,86.44,1443.0
2026-02-13,85.97,85.97,85.03,85.37,1909.0
2026-02-16,83.85,86.7,83.85,85.29,5525.0
2026-02-17,85.77,86.23,85.28,86.22,972.0
2026-02-18,86.39,86.42,85.55,86.08,1289.0
2026-02-19,87.8,87.8,85.0,85.22,1115.0
2026-02-20,85.44,85.67,84.62,85.62,674.0
2026-02-23,87.33,87.36,85.25,85.86,1363.0
2026-02-24,84.27,86.85,84.27,84.8,3097.0
2026-02-25,85.22,85.58,84.8,84.83,5809.0
2026-02-26,83.79,85.51,83.79,85.0,29299.0
2026-02-27,85.78,85.78,83.87,84.08,27361.0
2026-03-02,83.99,83.99,82.07,82.91,77069.0
2026-03-04,82.0,82.9,80.57,81.47,7499.0
2026-03-05,82.48,82.78,81.4,82.69,3239.0
2026-03-06,83.4,83.4,81.3,81.41,5891.0
2026-03-09,81.0,81.0,78.6,79.87,10293.0
2026-03-10,79.87,81.81,79.87,80.62,4475.0
2026-03-11,81.48,81.48,79.22,79.44,6238.0
2026-03-12,80.03,80.03,77.94,78.9,13580.0
2026-03-13,79.42,79.42,76.8,77.09,8881.0
2026-03-16,77.77,77.99,76.3,77.86,4376.0
2026-03-17,78.78,78.78,77.7,78.29,4759.0
2026-03-18,77.31,79.63,77.31,79.45,1650.0
2026-03-19,78.98,78.98,76.5,76.68,9882.0
2026-03-20,77.0,78.29,76.8,77.09,2764.0
2026-03-23,77.08,77.08,74.77,75.11,15961.0
2026-03-24,75.11,76.61,75.11,76.56,2068.0
2026-03-25,76.66,78.28,76.66,77.59,18053.0
2026-03-27,78.4,78.4,75.58,76.03,19582.0
2026-03-30,76.75,76.75,73.63,74.39,24646.0
2026-04-01,75.88,76.92,75.17,75.61,4413.0
2026-04-02,75.9,76.01,73.52,75.81,6774.0
2026-04-06,76.5,76.71,74.89,76.41,5066.0
2026-04-07,76.98,76.98,75.3,76.76,1974.0
2026-04-08,79.5,80.23,77.21,79.99,12589.0
2026-04-09,80.9,80.9,78.56,79.06,5467.0
2026-04-10,79.06,79.92,79.06,79.71,1486.0
2026-04-13,80.1,80.1,77.69,79.37,4774.0
2026-04-15,79.42,81.41,79.42,80.34,17087.0
2026-04-16,80.86,81.32,79.91,80.16,4237.0
2026-04-17,80.98,81.0,80.42,80.75,1146.0
2026-04-20,82.76,82.76,80.56,81.33,8573.0
2026-04-21,82.6,82.6,80.79,81.75,12426.0
2026-04-22,80.31,82.48,80.31,81.16,3586.0
2026-04-23,80.58,80.6,80.0,80.15,1708.0
2026-04-24,81.59,81.59,78.78,78.92,6337.0
2026-04-27,79.31,80.49,79.27,79.89,1723.0
2026-04-28,79.89,80.04,79.1,79.5,1189.0
2026-04-29,81.48,81.48,79.65,79.77,1597.0
2026-04-30,81.76,81.76,78.75,79.45,5802.0
2026-05-04,79.45,80.48,79.0,79.79,1727.0
2026-05-05,80.99,80.99,79.0,79.25,1434.0
2026-05-06,77.26,80.58,77.26,80.28,6397.0
2026-05-07,80.91,80.91,80.19,80.43,1090.0
2026-05-08,80.98,80.98,79.65,79.89,1159.0
