date,open,high,low,close,volume
2025-03-06,59.34,60.18,59.34,59.86,137261.0
2025-03-07,59.87,60.04,59.55,59.91,124928.0
2025-03-10,59.91,59.99,58.47,58.59,225101.0
2025-03-11,58.49,59.04,58.01,58.59,167043.0
2025-03-12,58.63,59.2,57.71,57.89,107572.0
2025-03-13,58.13,58.84,57.83,58.22,84766.0
2025-03-17,58.71,58.71,58.01,58.11,73247.0
2025-03-18,58.32,59.47,58.32,59.4,136651.0
2025-03-19,59.65,60.72,59.65,60.58,118667.0
2025-03-20,60.99,61.46,60.54,60.84,97349.0
2025-03-21,60.83,62.11,60.68,61.71,190117.0
2025-03-24,61.7,63.88,61.7,63.69,295610.0
2025-03-25,63.79,64.4,62.46,62.57,131108.0
2025-03-26,61.8,63.23,61.58,61.84,128672.0
2025-03-27,61.84,63.99,61.63,63.4,229514.0
2025-03-28,63.81,64.26,62.77,62.98,217133.0
2025-04-01,62.62,63.99,62.37,62.9,79366.0
2025-04-02,62.89,63.45,62.25,63.36,59388.0
2025-04-03,65.0,65.2,62.53,64.73,187671.0
2025-04-04,64.32,65.15,62.9,63.16,125395.0
2025-04-07,60.0,61.8,59.69,61.6,165772.0
2025-04-08,62.43,63.17,61.7,62.91,147971.0
2025-04-09,62.94,62.94,61.33,61.52,129295.0
2025-04-11,62.63,63.75,61.75,62.48,143316.0
2025-04-15,62.75,63.25,62.64,63.08,74826.0
2025-04-16,63.08,64.6,62.88,64.53,159539.0
2025-04-17,64.53,65.79,64.5,65.57,249133.0
2025-04-21,65.81,67.58,65.57,67.22,351490.0
2025-04-22,67.49,68.82,67.27,67.64,325319.0
2025-04-23,67.94,68.21,66.6,67.36,224363.0
2025-04-24,67.71,67.82,66.75,67.14,119645.0
2025-04-25,67.61,67.61,65.13,65.63,246013.0
2025-04-28,66.17,67.6,65.64,67.39,125068.0
2025-04-29,68.0,68.87,67.18,67.31,196457.0
2025-04-30,67.01,67.01,65.76,65.95,103672.0
2025-05-02,66.27,66.68,65.59,65.89,80781.0
2025-05-05,65.89,66.37,65.4,65.91,85732.0
2025-05-06,66.08,66.25,62.71,62.96,323475.0
2025-05-07,62.68,63.73,62.44,63.1,147731.0
2025-05-08,63.19,63.5,61.75,62.19,183205.0
2025-05-09,62.5,63.24,60.92,63.15,140664.0
2025-05-12,64.75,65.19,64.53,65.07,181405.0
2025-05-13,65.1,66.45,65.0,66.15,145788.0
2025-05-14,66.49,66.81,65.95,66.47,248436.0
2025-05-15,66.56,66.67,66.11,66.58,330240.0
2025-05-16,66.64,67.29,65.63,67.04,216531.0
2025-05-19,67.59,68.83,67.15,68.05,307913.0
2025-05-20,68.37,68.76,67.28,67.38,130783.0
2025-05-21,67.71,67.99,67.04,67.85,171918.0
2025-05-22,67.85,68.07,66.95,67.5,86082.0
2025-05-23,67.51,68.04,67.49,67.79,116889.0
2025-05-26,67.88,68.53,67.72,67.9,64766.0
2025-05-27,68.23,68.28,67.42,68.07,135443.0
2025-05-28,69.98,70.11,68.15,68.74,190407.0
2025-05-29,69.0,69.12,68.21,68.54,125589.0
2025-05-30,68.88,70.72,68.14,70.59,548305.0
2025-06-02,70.7,72.37,70.58,72.11,599956.0
2025-06-03,72.71,72.79,71.25,71.63,249264.0
2025-06-04,69.83,72.17,69.83,71.86,225521.0
2025-06-05,71.98,72.15,71.12,71.38,195153.0
2025-06-06,71.33,72.28,70.78,71.76,265331.0
2025-06-09,72.12,73.3,72.12,72.99,376863.0
2025-06-10,73.34,73.34,72.4,72.66,216072.0
2025-06-11,73.02,73.02,71.52,71.88,305990.0
2025-06-12,70.08,72.28,70.08,70.92,118616.0
2025-06-13,70.9,70.9,69.51,70.03,365544.0
2025-06-16,68.27,71.78,68.27,70.24,128833.0
2025-06-17,68.48,71.13,68.48,69.86,145859.0
2025-06-18,69.87,70.24,69.31,69.59,71554.0
2025-06-19,67.85,69.65,67.85,68.32,260601.0
2025-06-20,66.61,69.83,66.61,69.36,142536.0
2025-06-23,69.4,69.59,68.43,69.32,74156.0
2025-06-24,70.71,70.98,70.0,70.19,120893.0
2025-06-25,70.21,70.67,70.21,70.31,99631.0
2025-06-26,70.33,70.89,69.73,70.73,82238.0
2025-06-27,70.99,71.8,70.84,70.96,135256.0
2025-06-30,70.73,72.89,70.73,72.77,556309.0
2025-07-01,70.95,75.41,70.95,73.7,461611.0
2025-07-02,71.85,74.31,71.85,72.92,525788.0
2025-07-03,73.21,73.26,72.03,72.24,430565.0
2025-07-04,72.59,72.97,72.01,72.48,101253.0
2025-07-07,72.12,72.87,72.07,72.16,95413.0
2025-07-08,71.8,72.4,71.52,71.97,75283.0
2025-07-09,70.17,72.23,70.17,71.68,61754.0
2025-07-10,71.99,71.99,71.03,71.29,185932.0
2025-07-11,71.29,71.62,70.57,71.14,130125.0
2025-07-14,71.52,72.26,71.0,71.65,74881.0
2025-07-15,71.71,72.57,71.69,72.39,455319.0
2025-07-17,73.53,74.03,72.74,72.79,103604.0
2025-07-18,70.97,73.04,70.97,72.35,65287.0
2025-07-21,72.12,72.68,71.61,72.16,356064.0
2025-07-22,72.91,72.91,70.97,71.04,152740.0
2025-07-23,71.04,71.55,70.51,71.33,53524.0
2025-07-24,71.9,72.29,70.71,72.17,433314.0
2025-07-25,70.36,72.48,70.36,70.93,66197.0
2025-07-28,69.15,71.4,69.15,69.92,56181.0
2025-07-29,69.92,72.0,69.65,70.34,36722.0
2025-07-30,70.44,70.73,69.73,69.85,32661.0
2025-07-31,69.79,69.93,68.73,69.32,48374.0
2025-08-01,69.33,69.45,68.44,68.62,44565.0
2025-08-04,68.62,70.0,68.59,69.55,878137.0
2025-08-05,69.28,69.8,69.06,69.46,325690.0
2025-08-06,69.0,70.08,68.88,69.59,70004.0
2025-08-07,69.43,69.9,68.63,69.74,65125.0
2025-08-08,69.99,70.08,69.17,69.63,56469.0
2025-08-11,70.12,71.18,69.54,71.05,133633.0
2025-08-12,71.4,71.61,71.07,71.24,643275.0
2025-08-13,71.59,71.59,70.76,70.9,52439.0
2025-08-14,71.0,71.42,70.72,71.22,48771.0
2025-08-18,71.58,72.11,71.18,71.21,62581.0
2025-08-19,71.2,72.0,71.06,71.94,94436.0
2025-08-20,71.93,72.2,71.72,71.74,77843.0
2025-08-21,73.53,73.53,71.44,71.47,67283.0
2025-08-22,69.68,71.79,69.68,70.87,50417.0
2025-08-25,70.37,71.19,70.05,70.74,51571.0
2025-08-26,70.52,70.52,69.15,69.42,66905.0
2025-08-28,69.12,69.66,68.48,68.55,97835.0
2025-08-29,68.46,68.94,68.08,68.44,53170.0
2025-09-01,68.44,69.2,68.41,69.01,57508.0
2025-09-02,69.4,69.83,68.8,69.16,52398.0
2025-09-03,69.3,70.0,69.3,69.87,47527.0
2025-09-04,71.97,71.97,69.22,69.24,42064.0
2025-09-05,69.5,69.63,68.8,69.36,40144.0
2025-09-08,68.0,70.22,68.0,69.84,103281.0
2025-09-09,70.18,70.18,69.42,69.6,58963.0
2025-09-10,67.86,71.3,67.86,70.92,148862.0
2025-09-11,70.98,72.22,70.98,71.58,75451.0
2025-09-12,71.62,72.09,71.09,71.49,78384.0
2025-09-15,69.35,71.91,69.35,71.67,83020.0
2025-09-16,69.87,72.12,69.87,71.98,101758.0
2025-09-17,72.3,74.0,71.99,73.85,367033.0
2025-09-18,72.0,74.55,72.0,73.8,300993.0
2025-09-19,73.83,75.0,73.83,74.69,273049.0
2025-09-22,73.3,75.49,73.3,74.41,307458.0
2025-09-23,74.47,75.6,73.85,75.4,1419180.0
2025-09-24,76.12,76.53,75.06,75.19,440880.0
2025-09-25,75.31,75.99,74.06,74.57,179093.0
2025-09-26,74.56,74.63,73.0,73.4,119887.0
2025-09-29,73.76,75.04,73.5,74.79,294725.0
2025-09-30,74.79,76.43,74.79,76.17,257723.0
2025-10-01,75.3,76.89,75.14,75.9,184440.0
2025-10-03,74.8,76.94,74.8,76.67,167001.0
2025-10-06,77.06,77.25,76.47,76.87,234313.0
2025-10-07,76.89,77.17,76.5,76.53,90521.0
2025-10-08,76.54,76.78,75.59,75.93,169621.0
2025-10-09,75.93,77.71,75.91,76.64,281530.0
2025-10-10,76.65,78.11,76.64,77.69,151574.0
2025-10-13,76.4,78.19,76.4,77.86,138499.0
2025-10-14,77.86,78.58,76.55,76.76,244293.0
2025-10-15,77.14,78.39,76.87,77.99,127025.0
2025-10-16,78.37,78.56,77.6,77.82,144489.0
2025-10-17,78.16,78.16,76.84,77.31,193562.0
2025-10-20,77.81,79.83,77.65,79.35,353361.0
2025-10-21,77.36,82.52,77.36,79.59,104475.0
2025-10-23,79.62,80.6,79.27,79.53,568860.0
2025-10-24,79.3,79.89,77.54,78.9,174105.0
2025-10-27,79.2,81.44,79.08,80.95,1580390.0
2025-10-28,81.58,84.25,80.63,82.18,512129.0
2025-10-29,82.18,82.3,81.54,81.92,260648.0
2025-10-30,81.92,82.36,81.32,81.59,285184.0
2025-10-31,81.74,83.65,81.58,82.87,458722.0
2025-11-03,83.29,84.8,83.16,84.51,495293.0
2025-11-04,84.82,84.82,83.55,84.18,196405.0
2025-11-06,84.3,84.84,83.42,83.75,168548.0
2025-11-07,83.24,84.71,82.35,84.28,309131.0
2025-11-10,84.7,85.98,83.91,84.49,192913.0
2025-11-11,82.37,85.05,82.37,84.21,150759.0
2025-11-12,84.63,84.85,84.16,84.69,228765.0
2025-11-13,84.9,85.09,83.25,83.87,99401.0
2025-11-14,83.8,85.58,83.4,84.7,195315.0
2025-11-17,85.17,86.3,85.17,86.02,339787.0
2025-11-18,84.6,86.3,84.6,85.85,168150.0
2025-11-19,85.86,87.8,85.33,86.88,205196.0
2025-11-20,87.19,87.19,85.86,86.14,208382.0
2025-11-21,86.1,86.1,84.47,84.57,394929.0
2025-11-24,84.99,85.41,84.0,84.38,155112.0
2025-11-25,84.31,85.96,84.31,85.66,124318.0
2025-11-26,85.73,87.49,85.7,86.28,204413.0
2025-11-27,84.12,87.1,84.12,86.12,165881.0
2025-11-28,86.12,86.61,85.75,86.23,140960.0
2025-12-01,86.5,87.15,86.05,86.37,197099.0
2025-12-02,86.83,87.36,86.12,86.29,270357.0
2025-12-03,86.7,86.7,83.03,83.59,717674.0
2025-12-04,83.58,84.1,83.13,83.61,148488.0
2025-12-05,85.7,85.7,83.25,84.63,391822.0
2025-12-08,84.69,84.93,81.92,82.51,258742.0
2025-12-09,82.35,83.64,81.53,83.55,284166.0
2025-12-10,83.55,83.97,82.38,82.77,120305.0
2025-12-11,82.76,83.62,82.67,83.13,222763.0
2025-12-12,83.05,83.62,82.7,83.27,113044.0
2025-12-15,83.01,83.9,82.75,83.51,113118.0
2025-12-16,83.51,83.69,82.66,82.8,193331.0
2025-12-17,82.81,84.15,82.81,83.91,112146.0
2025-12-18,84.48,84.58,83.35,83.99,91550.0
2025-12-19,84.25,84.69,83.73,84.28,66353.0
2025-12-22,84.39,84.99,84.23,84.48,150063.0
2025-12-23,84.74,84.96,84.11,84.21,80798.0
2025-12-24,84.63,84.63,84.0,84.03,90548.0
2025-12-26,83.65,84.28,83.45,83.55,94342.0
2025-12-29,83.58,84.1,83.28,83.62,126714.0
2025-12-30,83.5,86.52,83.05,85.26,179202.0
2025-12-31,85.26,86.59,84.84,86.16,265593.0
2026-01-01,88.31,88.31,85.9,86.44,135857.0
2026-01-02,86.96,88.4,86.77,87.78,328516.0
2026-01-05,88.4,89.37,87.84,88.37,294455.0
2026-01-06,86.16,89.4,86.16,88.69,208120.0
2026-01-07,89.15,89.15,88.0,88.42,274962.0
2026-01-08,88.42,88.62,86.41,86.6,274204.0
2026-01-09,86.56,88.09,86.38,86.75,257698.0
2026-01-12,89.35,89.35,85.78,87.28,155441.0
2026-01-13,89.46,89.46,87.3,88.09,142326.0
2026-01-14,90.29,90.29,87.68,89.92,306630.0
2026-01-16,90.72,91.49,90.14,91.09,376332.0
2026-01-19,91.0,91.73,90.4,90.84,252185.0
2026-01-20,90.85,91.95,89.27,89.54,249437.0
2026-01-21,89.54,90.34,87.97,88.62,257679.0
2026-01-22,88.62,91.26,88.62,90.76,294587.0
2026-01-23,91.22,91.22,88.5,88.9,263212.0
2026-01-27,89.76,90.75,88.38,90.46,189560.0
2026-01-28,90.99,91.96,90.0,91.73,274580.0
2026-01-29,92.18,92.68,91.0,91.2,258615.0
2026-01-30,91.02,91.91,89.93,91.35,191740.0
2026-02-01,93.63,93.63,84.77,86.21,515602.0
2026-02-02,86.29,88.5,84.0,86.92,184714.0
2026-02-03,89.8,91.65,88.21,89.39,361777.0
2026-02-04,87.15,90.0,87.15,89.67,393490.0
2026-02-05,89.68,90.71,89.68,90.05,130976.0
2026-02-06,90.48,90.57,88.56,89.7,123048.0
2026-02-09,91.29,92.97,91.08,92.56,631254.0
2026-02-10,94.87,94.87,92.11,92.6,197388.0
2026-02-11,92.61,93.78,91.53,93.33,246697.0
2026-02-12,94.0,94.0,92.8,93.4,203998.0
2026-02-13,93.15,93.37,92.13,92.57,126900.0
2026-02-16,92.3,94.1,91.69,93.87,147651.0
2026-02-17,93.87,96.62,93.85,96.21,529674.0
2026-02-18,96.03,97.65,96.03,97.39,351059.0
2026-02-19,94.95,97.85,94.95,96.27,237192.0
2026-02-20,98.67,98.67,95.94,97.76,279485.0
2026-02-23,97.77,99.5,97.77,99.17,372216.0
2026-02-24,101.64,104.0,98.51,100.16,348679.0
2026-02-25,100.02,100.02,98.16,98.9,482987.0
2026-02-26,99.39,100.22,98.54,99.96,227907.0
2026-02-27,99.95,100.13,98.9,99.43,268600.0
2026-03-02,99.0,99.0,96.36,97.31,531581.0
2026-03-04,95.68,96.42,93.15,94.17,375605.0
2026-03-05,94.63,95.5,93.5,94.91,248156.0
2026-03-06,94.79,94.79,92.75,92.98,356754.0
2026-03-09,92.14,92.15,87.0,89.21,570730.0
2026-03-10,90.57,92.0,89.83,91.28,222110.0
2026-03-11,91.55,91.73,89.2,89.51,680237.0
2026-03-12,88.47,90.46,87.51,89.4,250199.0
2026-03-13,89.39,89.39,86.0,86.25,290585.0
2026-03-16,86.01,93.25,84.32,86.69,284396.0
2026-03-17,86.89,87.48,85.6,87.0,180474.0
2026-03-18,87.61,88.65,87.1,87.67,170046.0
2026-03-19,86.31,86.49,84.41,84.94,449833.0
2026-03-20,85.99,88.12,85.99,86.94,246898.0
2026-03-23,85.61,85.61,82.11,83.07,409525.0
2026-03-24,84.73,85.5,83.66,84.36,248497.0
2026-03-25,85.46,87.35,85.46,86.64,177991.0
2026-03-27,86.18,86.18,83.35,83.52,246854.0
2026-03-30,83.06,83.06,79.35,79.68,442719.0
2026-04-01,82.09,83.54,81.34,82.77,209828.0
2026-04-02,82.39,82.99,79.4,82.43,221248.0
2026-04-06,82.44,84.39,81.76,84.23,221724.0
2026-04-07,82.12,85.0,82.12,83.69,195867.0
2026-04-08,86.64,90.0,86.6,88.31,346542.0
2026-04-09,88.4,88.72,86.71,87.09,271222.0
2026-04-10,87.36,89.0,87.24,88.78,220498.0
2026-04-13,86.55,88.2,85.5,87.95,248945.0
2026-04-15,88.84,90.79,88.66,89.14,282774.0
2026-04-16,88.25,89.91,88.25,89.02,234356.0
2026-04-17,88.95,89.6,88.46,89.32,127562.0
2026-04-20,87.08,91.3,87.08,90.44,351178.0
2026-04-21,90.89,91.36,90.49,90.96,233356.0
2026-04-22,90.74,91.83,90.74,91.3,287073.0
2026-04-23,93.58,93.58,88.6,89.34,286316.0
2026-04-24,89.73,89.73,88.14,89.13,120556.0
2026-04-27,89.57,90.15,88.95,89.21,168848.0
2026-04-28,88.47,88.51,87.3,87.52,183908.0
2026-04-29,88.03,88.61,86.75,87.0,151681.0
2026-04-30,87.06,87.06,84.92,85.89,269196.0
2026-05-04,85.89,87.19,85.33,85.56,144487.0
2026-05-05,84.56,88.11,84.56,85.55,116429.0
2026-05-06,87.68,87.87,85.6,87.67,150592.0
2026-05-07,87.98,88.33,86.92,87.25,120293.0
2026-05-08,86.51,87.35,84.21,84.76,409131.0
